word,entropy,freq,vowel,overlay,y1,y2,y3,mu,sigma
raise,4.07425653,21099943,3,0,2.589657646,1.329752023,-1.005631646,3.23718500137329,0.957085311412811
slate,4.058914193,3813904,2,0,2.133875622,-0.06154375,-0.533620654,3.7124490737915,1.65021657943726
crate,4.044426465,2336818,2,0,2.105020204,-0.071729431,-0.549697171,3.77001285552979,1.67574179172516
irate,4.042016376,256072,3,0,2.491952855,1.192958109,-1.273708114,3.48237991333008,1.16030073165894
trace,4.041428402,11697252,2,0,2.117488059,-0.011003315,-0.425128527,3.51916170120239,1.51275110244751
arise,4.034767942,8337093,3,0,2.494341214,1.245196152,-1.165050592,3.38788843154907,1.0737099647522
stare,4.025299783,1925618,2,0,2.069860833,-0.075173369,-0.550560354,3.80261564254761,1.68037593364716
snare,3.999520825,1311615,2,0,2.022358952,-0.080203754,-0.552514819,3.84824371337891,1.68775117397308
arose,3.997932022,2609029,3,0,2.417211849,1.206476425,-1.23202472,3.48588156700134,1.14945566654205
least,3.986736963,111229798,2,0,2.209064409,0.633797774,0.904910031,3.36663031578064,1.32781875133514
alert,3.982710405,32472727,2,0,2.05159006,0.121679669,-0.136188219,3.20922994613647,1.26682555675507
crane,3.980592975,4888961,2,0,1.995165513,-0.057712363,-0.500651762,3.77166891098022,1.622967004776
stale,3.977675468,1065657,2,0,1.982628725,-0.082683129,-0.550540973,3.87977004051209,1.68981945514679
saner,3.974307185,84491,2,0,1.97470348,-0.08919691,-0.562716994,3.91054010391235,1.70679879188538
alter,3.960068182,7831337,2,0,1.963890734,-0.039412927,-0.456808019,3.71441602706909,1.56935024261475
later,3.955159473,84857974,2,0,2.1020054,0.461096431,0.56353272,3.36355185508728,1.34478759765625
react,3.948411681,4126376,2,0,1.935873753,-0.063966661,-0.503039909,3.82923078536987,1.63329231739044
leant,3.940246095,101406,2,0,1.913520284,-0.090459884,-0.554341421,3.94519114494324,1.69869256019592
trade,3.938157898,110086585,2,0,2.119576066,0.624408267,0.901410105,3.40187764167786,1.35090208053589
learn,3.920492011,179428286,2,0,2.220103351,1.074447927,1.823121958,3.077223777771,0.721697747707367
cater,3.914004511,2092828,2,0,1.870157092,-0.078572501,-0.521711892,3.91752123832703,1.64759540557861
roast,3.912949924,3205415,2,0,1.870384142,-0.071382701,-0.506738478,3.89269232749939,1.63272500038147
aisle,3.907151174,1917319,3,0,2.252738672,1.198320825,-1.219450595,3.57810354232788,1.19147133827209
trice,3.905355201,354532,2,0,1.851296341,-0.090220829,-0.542641864,3.9631495475769,1.66015946865082
scare,3.902757918,2972708,2,0,1.851622894,-0.073306218,-0.507378274,3.90505599975586,1.62536883354187
parse,3.902204447,3698919,2,0,1.852013508,-0.068607834,-0.497637066,3.88875699043274,1.61579835414886
saute,3.89562641,546457,3,0,2.229411003,1.188945077,-1.234830746,3.60043478012085,1.20686614513397
heart,3.891687985,90249265,2,0,1.998217294,0.493583809,0.650057237,3.50836420059204,1.4270122051239
alone,3.891353144,39326417,3,0,2.295707988,1.440859728,-0.720697035,3.68734788894653,1.26362311840057
store,3.888878506,291308910,2,0,2.376711263,1.800447208,3.311018996,3.16358327865601,0.807986080646515
alien,3.88823253,10490554,3,0,2.235091983,1.253288076,-1.101487415,3.53767895698547,1.16717445850372
share,3.887383812,119294241,2,0,2.045888189,0.682215511,1.03539142,3.36214876174927,1.29620969295502
grate,3.884454434,672155,2,0,1.814338848,-0.088998604,-0.533437151,3.95670008659363,1.61915552616119
trail,3.875536969,23648838,2,0,1.842142685,0.060000557,-0.227290552,3.45992541313171,1.32988119125366
siren,3.87011974,1354779,2,0,1.789878348,-0.085139046,-0.520974427,3.94325637817383,1.58681356906891
snore,3.86674203,294125,2,0,1.781784528,-0.092169915,-0.534199926,3.96316266059876,1.59113943576813
caste,3.861181108,1166877,2,0,1.773455167,-0.086720789,-0.521321361,3.94646310806274,1.57264757156372
scale,3.85748365,46307526,2,0,1.852920719,0.206564363,0.076835009,3.43496417999268,1.35260617733002
atone,3.85217788,152901,3,0,2.150573441,1.184635473,-1.229639581,3.63845181465149,1.23804366588593
renal,3.850473762,4494106,2,0,1.760558703,-0.065523919,-0.474735083,3.88152265548706,1.52321660518646
dealt,3.850268052,6174968,2,0,1.763395424,-0.054605864,-0.452445787,3.8481867313385,1.50855147838593
spare,3.847804332,10009522,2,0,1.766282394,-0.029778874,-0.401119847,3.77635169029236,1.47462630271912
train,3.84750256,31816971,2,0,1.807340132,0.111967029,-0.11250576,3.4177930355072,1.31261575222015
plate,3.84688317,24275560,2,0,1.791840884,0.062919555,-0.212140528,3.49974966049194,1.33250749111176
clear,3.84624277,88447610,2,0,1.913105136,0.480040457,0.637095221,3.56266784667969,1.44634222984314
rinse,3.845409505,1885846,2,0,1.746481551,-0.082682892,-0.508033852,3.93224620819092,1.53738737106323
teary,3.838650282,137396,2,0,1.730998343,-0.09432104,-0.529550526,3.96310949325562,1.54322063922882
shale,3.837725599,769742,2,0,1.730542748,-0.090247783,-0.520962436,3.95141220092773,1.53525447845459
solar,3.837424331,20423792,2,0,1.767493547,0.037500093,-0.260840833,3.57933115959168,1.35899198055267
trial,3.837369501,56547673,2,0,1.836305256,0.272319091,0.217139794,3.51279354095459,1.40262711048126
glare,3.835296416,1567097,2,0,1.727698,-0.085162538,-0.509830987,3.93642210960388,1.52303278446198
pearl,3.833064058,18707334,2,0,1.756382823,0.026166604,-0.282508345,3.61519908905029,1.3716207742691
lance,3.827130501,5509634,2,0,1.720542828,-0.059863454,-0.455711592,3.86144995689392,1.47134375572205
stole,3.825770155,2814273,2,0,1.712956284,-0.077439325,-0.491049273,3.91188836097717,1.49405097961426
canoe,3.823854797,3790795,3,0,2.10661015,1.207141751,-1.174726853,3.63481068611145,1.22951912879944
sonar,3.823628836,1341822,2,0,1.706298989,-0.08709722,-0.510019302,3.93831324577332,1.50520265102386
stair,3.822337011,2012524,2,0,1.705256726,-0.082789431,-0.500835843,3.92584681510925,1.4962170124054
