Word,Number of reported results,Number in hard mode,t1,t2,t3,t4,t5,t6,t7,mu,sigma,vowel,overlap,freq,initentropy,ratio,difficulty,mu_zscore,score_zscore,y1,y2,y3
manly,20380,1899,0,2,17,37,29,12,2,4.34,1.066711111,1,0,1260481,3.252854779,0.093179588,2,0.356369481,-0.682098322,0.2851007,-1.388943094,0.322563208
molar,21204,1973,0,4,21,38,26,9,1,4.14,1.0596,2,0,650262,3.573497852,0.093048481,2,-0.141834074,-0.824775064,1.255437956,-0.101674904,-0.459306279
havoc,20001,1919,0,2,16,38,30,12,2,4.4,1.050505051,2,0,1692191,2.912873417,0.095945203,2,0.505830547,-0.688213973,0.070134402,-0.121530246,-0.287414384
impel,20160,1937,0,3,21,40,25,9,1,4.15,1.005328283,2,0,86447,3.219457962,0.096081349,2,-0.116923896,-0.905848191,0.618072863,-0.119610533,-0.382034732
condo,20879,2012,0,2,17,35,29,14,3,4.45,1.179292929,2,1,6444848,2.750718906,0.096364768,2,0.630381436,-0.378124718,-1.527091473,0.745395892,-0.38036546
judge,20011,2043,0,2,8,16,26,33,14,5.18,1.514420202,2,0,30905832,2.611434594,0.102093848,4,2.44882441,2.585359938,-0.415890957,0.056220998,0.171264038
extra,15554,1562,1,5,20,35,28,10,1,4.18,1.24,2,0,59377307,3.157973401,0.100424328,2,-0.042193363,-0.327703439,0.620675027,0.263327978,0.41717801
poise,20281,1911,2,11,34,32,15,6,1,3.72,1.353519192,3,0,339263,3.683161327,0.094226123,1,-1.188061539,0.48728483,1.847168071,1.179034217,-1.186723406
aorta,21937,2112,0,7,26,35,20,10,3,4.13,1.417847475,3,1,641057,3.306795157,0.096275699,2,-0.166744252,-0.078234711,-0.14353499,2.008393368,-1.287298584
excel,20490,2034,0,1,13,34,34,15,2,4.51,0.996463636,2,1,14133468,2.613530793,0.099267936,2,0.779842502,-0.660456639,-1.758982579,0.789845568,-0.245801757
lunar,22180,2036,0,5,32,40,17,4,0,3.75,0.83459596,2,0,3611744,3.568170934,0.091794409,2,-1.113331005,-1.05080997,1.251513631,-0.082638678,-0.418847012
third,24137,2261,1,10,47,32,9,2,0,3.47,0.817685859,1,0,95489240,3.359729119,0.093673613,1,-1.810815982,-0.158520637,0.656929651,-0.7721066,1.543758357
slate,26010,2422,6,14,33,27,13,5,1,3.43,1.583283838,2,0,3813904,4.058914193,0.093118032,1,-1.910456693,2.132293875,2.133875622,-0.06154375,-0.533620654
taper,22166,2108,0,8,28,30,20,11,3,4.07,1.52030303,2,0,1294069,3.819007246,0.095100605,2,-0.316205318,0.071955979,1.697901855,-0.087593922,-0.509545063
chord,22336,2088,0,7,39,38,13,3,0,3.66,0.812525253,1,0,3123447,3.241334208,0.093481375,1,-1.337522605,-0.836827188,0.267949446,-1.377297361,0.349969945
probe,22853,2160,0,6,24,32,24,11,3,4.19,1.407979798,2,0,9643801,3.459810652,0.094517131,2,-0.017283185,-0.122412934,1.068272566,-0.047795407,-0.313101164
rival,22176,2127,0,7,27,35,22,8,1,4,1.191919192,2,0,4298220,3.289926638,0.095914502,2,-0.490576562,-0.559649018,0.752755389,-0.089391705,-0.343172424
usual,20824,2048,0,3,20,39,27,10,1,4.24,1.032727273,3,1,17044981,2.817575139,0.09834806,2,0.107267704,-0.860339958,-0.991481454,2.095306731,-0.953168682
spoke,24101,2224,0,6,31,38,19,5,0,3.82,0.930985859,2,0,11577917,3.237949418,0.092278329,2,-0.938959761,-0.930873337,0.673227415,-0.044165544,-0.234412655
apply,22873,2150,0,5,28,38,22,7,1,4.05,1.082348485,1,1,76341478,2.651893576,0.093997289,2,-0.366025673,-0.730199839,-1.966600804,-0.082538981,1.265169235
naive,21947,2075,1,7,24,32,24,11,1,4.08,1.387474747,3,0,1848489,3.448824938,0.094545952,2,-0.29129514,-0.088355369,1.428891726,1.179399261,-1.110671112
knock,21157,2041,0,3,18,43,27,8,1,4.22,0.941010101,1,1,5196013,2.368567685,0.096469254,2,0.057447348,-0.986343783,-2.611519097,-0.556436232,0.391626851
braid,23640,2165,0,10,36,35,14,3,0,3.56,0.901947475,2,0,981945,3.400396973,0.091582064,1,-1.586624382,-0.671490287,0.944969345,-0.10649614,-0.413489819
infer,21199,1863,0,3,19,33,26,14,3,4.3,1.272929293,2,0,1104540,3.306797672,0.087881504,2,0.25672877,-0.298109745,0.776984148,-0.109472003,-0.389466811
joust,24899,2388,0,6,29,34,21,8,2,4.02,1.252121212,2,0,160309,2.948994926,0.095907466,2,-0.440756207,-0.395923719,0.13213067,-0.130032177,-0.316328123
amber,23509,2261,0,6,22,33,24,12,3,4.23,1.411212121,2,0,11065507,3.370348625,0.096175933,2,0.082357526,-0.11347929,0.910201181,-0.04215971,-0.272879336
