word,y1,y2,y3
manly,0.2851007,-1.388943094,0.322563208
molar,1.255437956,-0.101674904,-0.459306279
havoc,0.070134402,-0.121530246,-0.287414384
impel,0.618072863,-0.119610533,-0.382034732
condo,-1.527091473,0.745395892,-0.38036546
judge,-0.415890957,0.056220998,0.171264038
extra,0.620675027,0.263327978,0.41717801
poise,1.847168071,1.179034217,-1.186723406
aorta,-0.14353499,2.008393368,-1.287298584
excel,-1.758982579,0.789845568,-0.245801757
lunar,1.251513631,-0.082638678,-0.418847012
third,0.656929651,-0.7721066,1.543758357
slate,2.133875622,-0.06154375,-0.533620654
taper,1.697901855,-0.087593922,-0.509545063
chord,0.267949446,-1.377297361,0.349969945
probe,1.068272566,-0.047795407,-0.313101164
rival,0.752755389,-0.089391705,-0.343172424
usual,-0.991481454,2.095306731,-0.953168682
spoke,0.673227415,-0.044165544,-0.234412655
apply,-1.966600804,-0.082538981,1.265169235
naive,1.428891726,1.179399261,-1.110671112
knock,-2.611519097,-0.556436232,0.391626851
braid,0.944969345,-0.10649614,-0.413489819
infer,0.776984148,-0.109472003,-0.389466811
joust,0.13213067,-0.130032177,-0.316328123
amber,0.910201181,-0.04215971,-0.272879336
woken,0.209149957,-0.126987473,-0.323833457
adore,2.00061893,1.187880696,-1.195870764
torso,-0.688462755,0.734013096,-0.555089526
chafe,0.818000515,-0.114917462,-0.408221399
eject,-1.809259407,0.703486829,-0.417092743
undue,-1.14771382,1.990627966,-1.143644874
tepid,0.884365746,-0.112771239,-0.415685273
happy,-2.292304216,-0.172950998,1.13499083
itchy,-0.418732651,-1.405235552,0.415230473
feast,1.421083786,-0.075256291,-0.433953279
drive,1.055399076,0.585771059,1.012277437
prime,1.234123826,0.141030489,0.051366018
axiom,0.178757422,1.149081829,-0.948957373
brave,0.940020569,-0.07923046,-0.355660784
avert,1.169976988,-0.102834944,-0.446345737
glyph,-1.063680732,-2.692696401,1.138127397
there,0.945934159,5.287159832,8.658943129
baker,0.838030989,-0.019258837,-0.212065327
snarl,1.144995973,-1.376604947,0.193547018
maple,1.210104217,-0.044222131,-0.331168958
inane,-0.209490118,2.00483662,-1.282854094
valet,1.253793116,-0.092655393,-0.440174982
medal,1.032424595,-0.06084806,-0.333906045
unite,1.668180564,1.191483469,-1.128508084
rainy,1.27410933,-0.089510789,-0.437265111
spell,-1.408109854,-0.508071314,0.276011774
begin,0.576407235,0.172299853,0.235054428
stale,1.982628725,-0.082683129,-0.550540973
dream,1.206266425,0.109474627,-0.00951697
photo,-1.162664525,2.178647948,2.547062715
aloud,1.276256576,1.188215635,-1.064785678
inept,0.910999298,-0.11063803,-0.416024599
piney,0.86734348,-0.112029527,-0.411072356
aptly,0.324138101,-1.392343252,0.308435988
waltz,-0.587794893,-1.405533306,0.445039982
libel,-1.048482095,0.720109115,-0.519321181
sneak,0.943324082,-0.09814498,-0.395754148
carry,-1.287148306,-0.346820121,0.59097555
flout,0.590071344,-0.120329282,-0.378495389
foggy,-2.932771292,-0.59264661,0.373835182
fault,0.878228567,-0.029656944,-0.241015026
mummy,-5.100607692,0.238375769,0.308617386
spiel,1.400209256,-0.097384056,-0.476404722
grove,0.726813454,-0.0196414,-0.192845004
denim,0.669942383,-0.088411951,-0.326220038
quirk,-0.534826291,-0.143158136,-0.223686107
exist,0.507567262,0.041048845,-0.026642607
stein,1.411653243,-0.077227329,-0.436371846
spade,1.244133927,-0.096004799,-0.445430805
catch,-1.716938292,-0.438184259,0.477544498
floor,-1.206864193,1.058122039,0.215051815
equal,0.632892518,1.374545291,-0.559872113
ionic,-1.121202406,1.994002743,-1.14136948
valid,0.526133338,0.246467389,0.398986011
enjoy,-0.208795354,0.185082792,0.403085643
howdy,-0.858615994,-1.418041506,0.467667367
vigor,0.249242083,-0.122128199,-0.320902561
dandy,-2.014065578,-0.569499013,0.256806188
sloth,0.717767392,-1.384024795,0.254953719
march,0.642531741,-0.366940009,2.392449479
bough,-0.140035904,-0.133813083,-0.275233556
sting,0.206317481,-1.380940999,0.353454812
twine,1.0427199,-0.107961995,-0.434146085
leave,-0.228467725,2.460569732,-0.327741795
scorn,0.687605091,-1.384032928,0.260365967
scald,0.551347507,-1.390453876,0.271483701
usurp,-1.867436899,0.697251264,-0.419642339
soggy,-2.246649783,-0.579666216,0.277439557
brisk,-0.046581099,-1.399523519,0.360171279
admit,0.596362965,-0.063953202,-0.261899094
grate,1.814338848,-0.088998604,-0.533437151
glory,0.352868869,-1.310587749,0.473992451
saint,1.766035588,0.156968626,-0.011095182
recap,1.227014301,-0.088029851,-0.425695374
alike,1.690362289,1.213497973,-1.086528457
trice,1.851296341,-0.090220829,-0.542641864
stick,-0.001439694,-1.258863409,0.645782871
chute,0.969656851,-0.106897799,-0.41877236
parer,-0.472352757,0.727678353,-0.607218138
doubt,0.398402022,0.006067681,-0.080043112
thyme,0.107481692,-1.394558279,0.342808678
alpha,-1.548607556,0.883029665,-0.08907531
booze,-1.639223239,1.978320232,-1.080874837
tibia,-1.049478724,1.987944079,-1.166931943
lofty,-0.090650897,-1.398931971,0.369339184
theme,-0.956920643,0.956918603,-0.04127883
class,-1.009141078,0.679927166,2.685065352
leery,-0.672958177,0.724023009,-0.578742413
taunt,-0.831631076,0.721280881,-0.555907518
whoop,-2.293109,0.688739514,-0.360795996
inter,1.46784253,-0.002506077,-0.290447386
gully,-2.364450862,-0.579278245,0.29945401
charm,0.334865701,-1.32780844,0.441271484
fungi,-0.378446814,-0.129598598,-0.22351845
prize,0.590900811,-0.016133511,-0.16105521
onset,1.433680143,-0.076957427,-0.43977307
chief,0.6135109,0.174841278,0.233682943
gauze,0.617155755,1.152848497,-1.020003483
ruder,-1.027169052,0.71556846,-0.53263968
irony,0.988222968,-0.097581534,-0.402659343
clown,-0.016969127,-1.383958333,0.387345505
needy,-1.349345888,0.718329321,-0.468882226
woven,0.155240502,-0.103113576,-0.264274449
merit,1.455179633,-0.059736627,-0.407681215
waste,1.354234027,0.161684055,0.072876449
treat,-0.095879346,0.861428055,-0.395677334
shrug,-0.022055367,-1.399318907,0.35618392
twang,-0.096173014,-1.404064012,0.359616052
twice,0.975196757,0.01664241,-0.161783547
gruel,1.179053449,-0.107056418,-0.456795108
poker,0.992876319,0.721629289,1.30724099
khaki,-2.168983949,0.698948067,-0.361820305
hunky,-0.841662308,-1.420548123,0.459381186
label,-0.744091856,0.988426078,-0.013791843
glean,1.203007189,-0.105545657,-0.45795191
cling,0.118484071,-1.394708937,0.340513628
patty,-1.743109305,-0.555404842,0.237466418
unfit,0.200916288,-0.124267216,-0.316670747
smear,1.455255189,-0.09306528,-0.477294227
alien,2.235091983,1.253288076,-1.101487415
buggy,-3.119645833,-0.58875893,0.415591255
rhyme,0.172494696,-1.389723405,0.341202849
youth,0.469975562,0.208602937,0.330023035
coyly,-2.039201375,-0.576817556,0.246047512
quart,0.459714551,-0.110791355,-0.335113271
