Word,Number of reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),mu,sigma,vowel,overlap,freq,initentropy,ratio,y1,y2,y3
manly,20380,1899,0,2,17,37,29,12,2,4.34,1.066711111,1,0,1260481,3.252854779,0.093179588,0.040992944,-0.180033999,-1.277039468
molar,21204,1973,0,4,21,38,26,9,1,4.14,1.0596,2,0,650262,3.573497852,0.093048481,0.961900702,0.952186007,-0.376164736
havoc,20001,1919,0,2,16,38,30,12,2,4.4,1.050505051,2,0,1692191,2.912873417,0.095945203,-0.245781893,0.782667523,-0.323822865
impel,20160,1937,0,3,21,40,25,9,1,4.15,1.005328283,2,0,86447,3.219457962,0.096081349,0.300139041,0.909321423,-0.366102612
condo,20879,2012,0,2,17,35,29,14,3,4.45,1.179292929,2,1,6444848,2.750718906,0.096364768,-1.766991812,0.857289138,0.436089362
judge,20011,2043,0,2,8,16,26,33,14,5.18,1.514420202,2,0,30905832,2.611434594,0.102093848,-0.786533041,0.709547913,-0.093729888
extra,15554,1562,1,5,20,35,28,10,1,4.18,1.24,2,0,59377307,3.157973401,0.100424328,0.258697934,0.732944401,0.098453364
poise,20281,1911,2,11,34,32,15,6,1,3.72,1.353519192,3,0,339263,3.683161327,0.094226123,1.493807782,2.041493337,0.538867852
aorta,21937,2112,0,7,26,35,20,10,3,4.13,1.417847475,3,1,641057,3.306795157,0.096275699,-0.433386294,2.103573933,1.272489979
excel,20490,2034,0,1,13,34,34,15,2,4.51,0.996463636,2,1,14133468,2.613530793,0.099267936,-2.023972431,0.853379512,0.494344631
lunar,22180,2036,0,5,32,40,17,4,0,3.75,0.83459596,2,0,3611744,3.568170934,0.091794409,0.968248513,0.90009118,-0.343994482
third,24137,2261,1,10,47,32,9,2,0,3.47,0.817685859,1,0,95489240,3.359729119,0.093673613,0.396412039,-0.568351525,-0.519498649
slate,26010,2422,6,14,33,27,13,5,1,3.43,1.583283838,2,0,3813904,4.058914193,0.093118032,1.837663479,1.121696227,-0.395587846
taper,22166,2108,0,8,28,30,20,11,3,4.07,1.52030303,2,0,1294069,3.819007246,0.095100605,1.386041825,1.10060022,-0.405814649
