Word,Number of reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),mu,sigma,,
manly,20380,1899,0,2,17,37,29,12,2,4.34,1.066711111,1,0
molar,21204,1973,0,4,21,38,26,9,1,4.14,1.0596,2,0
havoc,20001,1919,0,2,16,38,30,12,2,4.4,1.050505051,2,0
impel,20160,1937,0,3,21,40,25,9,1,4.15,1.005328283,2,0
condo,20879,2012,0,2,17,35,29,14,3,4.45,1.179292929,2,1
judge,20011,2043,0,2,8,16,26,33,14,5.18,1.514420202,2,0
extra,15554,1562,1,5,20,35,28,10,1,4.18,1.24,2,0
poise,20281,1911,2,11,34,32,15,6,1,3.72,1.353519192,3,0
aorta,21937,2112,0,7,26,35,20,10,3,4.13,1.417847475,3,1
excel,20490,2034,0,1,13,34,34,15,2,4.51,0.996463636,2,1
lunar,22180,2036,0,5,32,40,17,4,0,3.75,0.83459596,2,0
third,24137,2261,1,10,47,32,9,2,0,3.47,0.817685859,1,0
slate,26010,2422,6,14,33,27,13,5,1,3.43,1.583283838,2,0
taper,22166,2108,0,8,28,30,20,11,3,4.07,1.52030303,2,0
chord,22336,2088,0,7,39,38,13,3,0,3.66,0.812525253,1,0
probe,22853,2160,0,6,24,32,24,11,3,4.19,1.407979798,2,0
rival,22176,2127,0,7,27,35,22,8,1,4,1.191919192,2,0
usual,20824,2048,0,3,20,39,27,10,1,4.24,1.032727273,3,1
spoke,24101,2224,0,6,31,38,19,5,0,3.82,0.930985859,2,0
apply,22873,2150,0,5,28,38,22,7,1,4.05,1.082348485,1,1
naive,21947,2075,1,7,24,32,24,11,1,4.08,1.387474747,3,0
knock,21157,2041,0,3,18,43,27,8,1,4.22,0.941010101,1,1
braid,23640,2165,0,10,36,35,14,3,0,3.56,0.901947475,2,0
infer,21199,1863,0,3,19,33,26,14,3,4.3,1.272929293,2,0
joust,24899,2388,0,6,29,34,21,8,2,4.02,1.252121212,2,0
amber,23509,2261,0,6,22,33,24,12,3,4.23,1.411212121,2,0
woken,23153,2200,0,2,10,25,36,23,4,4.8,1.191919192,2,0
adore,25577,2398,2,17,32,29,15,5,1,3.6,1.444040404,3,0
torso,23873,2260,0,4,35,36,17,6,1,3.85,1.009368687,2,1
chafe,24646,2343,0,6,30,33,19,9,2,3.97,1.284334343,2,0
